[["40c"],0] NaN
[[16,9,5,4],0] 0
[[16,9,5,3,2],0] 0
[[16,9,5,1,1,1],0] 0
[[16,9,5,1],0] 0
[[16,8,8,4],0] 0
[[16,8,8,1],0] 0
[[16,8,7,3,1],0] 0
[[16,8,7,2],0] 0
[[16,8,6,6],0] 0
[[16,8,6,3],0] 0
[[16,8,6,2,1],0] 0
[[16,8,5,5],0] 0
[[16,8,4,4,1,1],0] 0
[[16,8,4,4],0] 0
[[16,8,4,3,2],0] 0
[[16,8,4,2,2,1],0] 0
[[16,8,4,1,1,1],0] 0
[[16,8,4,1],0] 0
[[16,8,3,3,2,2],0] 0
[[16,8,3,3,1,1],0] 0
[[16,8,3,3],0] 0
[[16,8,3,2,1,1,1],0] 0
[[16,8,3,2,1],0] 0
[[16,8,2,2,2,2],0] 0
[[16,8,2,2,1,1,1,1],0] 0
[[16,8,2,2,1,1],0] 0
[[16,8,2,2],0] 0
[[16,8,1,1,1,1,1,1],0] 0
[[16,8,1,1,1,1],0] 0
[[16,8,1,1],0] 0
[[16,8],0] 0
[[16,7,7,4],0] 0
[[16,7,7,3,2],0] 0
[[16,7,7,1,1,1],0] 0
[[16,7,7,1],0] 0
[[16,7,6,4,1],0] 0
[[16,7,6,3,3],0] 0
[[16,7,6,2,2],0] 0
[[16,7,6,1,1,1,1],0] 0
[[16,7,6,1,1],0] 0
[[16,7,6],0] 0
[[16,7,4,4,3],0] 0
[[16,7,4,4,2,1],0] 0
[[16,7,4,3,1,1,1],0] 0
[[16,7,4,3,1],0] 0
[[16,7,4,2,2,2],0] 0
[[16,7,4,2,1,1],0] 0
[[16,7,4,2],0] 0
[[16,7,3,3,3],0] 0
[[16,7,3,3,2,1],0] 0
[[16,7,3,2,2,1,1],0] 0
[[16,7,3,2,2],0] 0
[[16,7,3,1,1,1,1],0] 0
[[16,7,3,1,1],0] 0
[[16,7,3],0] 0
[[16,7,2,2,2,1,1,1],0] 0
[[16,7,2,2,2,1],0] 0
[[16,7,2,1,1,1,1,1],0] 0
[[16,7,2,1,1,1],0] 0
[[16,7,2,1],0] 0
[[16,6,6,4,1,1],0] 0
[[16,6,6,4],0] 0
[[16,6,6,3,2],0] 0
[[16,6,6,2,2,1],0] 0
[[16,6,6,1,1,1],0] 0
[[16,6,6,1],0] 0
[[16,6,5,5,2],0] 0
[[16,6,4,4,3,1],0] 0
[[16,6,4,4,2],0] 0
[[16,6,4,3,2,2],0] 0
[[16,6,4,3,1,1],0] 0
[[16,6,4,3],0] 0
[[16,6,4,2,2,2,1],0] 0
[[16,6,4,2,1,1,1],0] 0
[[16,6,4,2,1],0] 0
[[16,6,3,3,3,1],0] 0
[[16,6,3,3,2,1,1],0] 0
[[16,6,3,3,2],0] 0
[[16,6,3,2,2,1,1,1],0] 0
[[16,6,3,2,2,1],0] 0
[[16,6,3,1,1,1,1,1],0] 0
[[16,6,3,1,1,1],0] 0
[[16,6,3,1],0] 0
[[16,6,2,2,2,2,2],0] 0
[[16,6,2,2,2,1,1],0] 0
[[16,6,2,2,2],0] 0
[[16,6,2,1,1,1,1,1,1],0] 0
[[16,6,2,1,1,1,1],0] 0
[[16,6,2,1,1],0] 0
[[16,6,2],0] 0
[[16,5,5,4,2,2],0] 0
[[16,5,5,4,1,1],0] 0
[[16,5,5,4],0] 0
[[16,5,5,3,3,1],0] 0
[[16,5,5,3,2,1,1],0] 0
[[16,5,5,3,2],0] 0
[[16,5,5,2,2,1],0] 0
[[16,5,5,1,1,1,1,1],0] 0
[[16,5,5,1,1,1],0] 0
[[16,5,5,1],0] 0
[[16,4,4,4,4,1],0] 0
[[16,4,4,4,3,3],0] 0
[[16,4,4,4,2,2],0] 0
[[16,4,4,4,1,1,1,1],0] 0
[[16,4,4,4,1,1],0] 0
[[16,4,4,4],0] 0
[[16,4,4,3,3,1],0] 0
[[16,4,4,3,2,2,2],0] 0
